num_episodes_passed,cumulative_reward,episode_length,avg_reward,unclipped_episode_reward,unclipped_average_reward
92,2.0,291,1.0543478260869572,2.0,1.0543478260869572
93,3.0,307,1.0752688172043017,3.0,1.0752688172043017
94,1.0,231,1.0744680851063835,1.0,1.0744680851063835
95,2.0,264,1.08421052631579,2.0,1.08421052631579
96,1.0,224,1.0833333333333337,1.0,1.0833333333333337
97,0.0,174,1.0721649484536087,0.0,1.0721649484536087
98,0.0,167,1.0612244897959189,0.0,1.0612244897959189
99,2.0,242,1.0707070707070712,2.0,1.0707070707070712
100,1.0,197,1.0700000000000005,1.0,1.0700000000000005
101,3.0,336,1.0891089108910896,3.0,1.0891089108910896
102,4.0,336,1.1176470588235299,4.0,1.1176470588235299
103,2.0,297,1.1262135922330101,2.0,1.12621359223301
104,2.0,281,1.134615384615385,2.0,1.134615384615385
105,0.0,174,1.1238095238095243,0.0,1.1238095238095243
106,0.0,161,1.1132075471698117,0.0,1.1132075471698117
107,0.0,169,1.1028037383177574,0.0,1.1028037383177574
av_max_q,0.20660252403467894
108,2.0,263,1.1111111111111114,2.0,1.1111111111111114
109,4.0,400,1.1376146788990829,4.0,1.1376146788990829
110,1.0,221,1.1363636363636367,1.0,1.1363636363636367
111,2.0,266,1.1441441441441444,2.0,1.1441441441441444
112,1.0,209,1.1428571428571432,1.0,1.1428571428571432
113,3.0,310,1.1592920353982306,3.0,1.1592920353982306
114,1.0,225,1.1578947368421058,1.0,1.1578947368421058
115,0.0,170,1.1478260869565222,0.0,1.1478260869565222
116,0.0,173,1.1379310344827591,0.0,1.1379310344827591
117,3.0,329,1.1538461538461544,3.0,1.1538461538461544
118,5.0,437,1.1864406779661023,5.0,1.1864406779661023
119,0.0,163,1.1764705882352948,0.0,1.1764705882352948
120,5.0,433,1.2083333333333339,5.0,1.208333333333334
121,0.0,165,1.1983471074380172,0.0,1.1983471074380172
122,2.0,267,1.2049180327868858,2.0,1.2049180327868858
123,2.0,290,1.2113821138211387,2.0,1.2113821138211387
124,1.0,237,1.2096774193548392,1.0,1.2096774193548392
125,1.0,192,1.2080000000000004,1.0,1.2080000000000004
126,1.0,229,1.2063492063492067,1.0,1.2063492063492067
127,3.0,350,1.2204724409448822,3.0,1.2204724409448822
128,1.0,203,1.2187500000000002,1.0,1.2187500000000002
129,1.0,235,1.2170542635658916,1.0,1.2170542635658916
130,1.0,233,1.2153846153846155,1.0,1.2153846153846155
av_max_q,0.26050666347146034
131,0.0,173,1.2061068702290076,0.0,1.2061068702290076
132,2.0,289,1.2121212121212122,2.0,1.2121212121212122
133,1.0,209,1.2105263157894737,1.0,1.2105263157894737
134,0.0,173,1.2014925373134329,0.0,1.2014925373134329
135,5.0,429,1.2296296296296296,5.0,1.2296296296296296
136,0.0,164,1.2205882352941178,0.0,1.2205882352941178
137,5.0,431,1.248175182481752,5.0,1.248175182481752
138,0.0,161,1.2391304347826089,0.0,1.2391304347826089
139,1.0,229,1.2374100719424461,1.0,1.2374100719424461
